Report_Year,Comm_Dist_ Boro,Comm_District,FAM_DIR,FAM_Fel_Assault ,DV_Fel_Assault ,FAM_Rape ,DV_Rape 
2017,Bronx,BXJIA,13,0,2,0,0
2017,Bronx,Total,21383,789,2276,48,128
2017,Brooklyn,1,1208,49,127,2,8
2017,Brooklyn,2,978,36,92,1,2
2017,Brooklyn,3,3150,80,215,6,20
2017,Brooklyn,4,1193,37,104,6,9
2017,Brooklyn,5,3334,145,355,6,25
2017,Brooklyn,6,767,16,59,0,2
2017,Brooklyn,7,558,27,76,2,12
2017,Brooklyn,8,1567,56,128,3,5
2017,Brooklyn,9,1133,45,97,0,2
2017,Brooklyn,10,479,15,57,2,3
2017,Brooklyn,11,787,39,104,1,2
2017,Brooklyn,12,506,18,52,2,4
2017,Brooklyn,13,1263,44,102,3,4
2017,Brooklyn,14,1226,34,113,4,7
2017,Brooklyn,15,868,34,90,0,5
2017,Brooklyn,16,2894,93,259,7,16
2017,Brooklyn,17,1970,97,261,6,13
2017,Brooklyn,18,2384,89,189,6,14
2017,Brooklyn,BKJIA,12,0,1,0,0
2017,Brooklyn,Total,26277,954,2481,57,153
2017,Manhattan,1,121,3,8,0,1
2017,Manhattan,2,128,4,16,0,2
2017,Manhattan,3,1501,55,118,2,8
2017,Manhattan,4,559,15,71,3,9
2017,Manhattan,5,183,4,41,0,2
2017,Manhattan,6,323,9,37,1,4
2017,Manhattan,7,1089,19,66,2,8
2017,Manhattan,8,372,14,43,0,3
2017,Manhattan,9,1326,36,93,5,8
2017,Manhattan,10,2857,69,197,3,5
2017,Manhattan,11,2868,87,244,9,18
2017,Manhattan,12,1542,66,146,0,7
2017,Manhattan,MNJIA,2,0,0,0,0
2017,Manhattan,Total,12871,381,1080,25,75
2017,Queens,1,1363,42,141,3,13
2017,Queens,2,589,25,75,0,3
2017,Queens,3,1152,58,142,7,17
2017,Queens,4,847,29,95,5,10
2017,Queens,5,771,37,101,3,7
2017,Queens,6,306,7,23,0,2
2017,Queens,7,923,30,100,3,6
2017,Queens,8,877,28,74,4,12
2017,Queens,9,1192,22,68,5,7
2017,Queens,10,1028,41,126,1,4
2017,Queens,11,398,14,31,0,0
2017,Queens,12,3453,139,357,9,23
2017,Queens,13,1306,78,181,2,7
2017,Queens,14,2129,89,232,5,15
2017,Queens,QNJIA,5,0,1,0,0
2017,Queens,Total,16339,639,1747,47,126
2017,Staten Island,1,3042,76,206,13,17
2017,Staten Island,2,914,20,54,1,2
2017,Staten Island,3,726,13,38,1,2
2017,Staten Island,SIJIA,2,0,0,0,0
2017,Staten Island,Total,4684,109,298,15,21
2019,Bronx,1,1875,70,231,7,12
2019,Bronx,2,635,24,91,2,11
2019,Bronx,3,1964,49,200,3,7
2019,Bronx,4,1691,95,295,4,13
2019,Bronx,5,1681,67,217,7,19
2019,Bronx,6,1130,39,131,8,19
2019,Bronx,7,1304,73,216,5,19
2019,Bronx,8,523,16,50,2,7
2019,Bronx,9,2085,90,284,5,16
2019,Bronx,10,1049,50,120,1,7
2019,Bronx,11,843,37,113,7,14
2019,Bronx,12,1886,89,307,8,17
2019,Bronx,BXJIA,8,0,0,0,0
2019,Bronx,Unknown,1,0,0,0,0
2019,Bronx,Total,16675,699,2255,59,161
2019,Brooklyn,1,881,31,99,0,5
2019,Brooklyn,2,762,30,97,2,7
2019,Brooklyn,3,2071,88,236,8,16
2019,Brooklyn,4,946,39,129,8,17
2019,Brooklyn,5,2471,94,332,10,25
2019,Brooklyn,6,655,18,50,1,2
2019,Brooklyn,7,505,31,101,7,16
2019,Brooklyn,8,1080,28,87,3,5
2019,Brooklyn,9,811,31,98,0,3
2019,Brooklyn,10,292,13,55,0,5
2019,Brooklyn,11,525,23,52,5,12
2019,Brooklyn,12,526,17,50,4,11
2019,Brooklyn,13,1018,27,93,6,9
2019,Brooklyn,14,1064,30,77,4,11
2019,Brooklyn,15,726,22,69,0,4
2019,Brooklyn,16,1837,78,203,5,13
2019,Brooklyn,17,1547,81,205,5,24
2019,Brooklyn,18,1795,51,132,4,15
2019,Brooklyn,BKJIA,12,1,4,0,0
2019,Brooklyn,Unknown,0,0,0,0,0
2019,Bronx,Total,19524,733,2169,72,200
2019,Manhattan,1,101,2,14,0,4
2019,Manhattan,2,125,2,23,0,2
2019,Manhattan,3,1264,47,129,3,7
2019,Manhattan,4,450,19,72,2,8
2019,Manhattan,5,189,3,30,1,4
2019,Manhattan,6,270,4,31,0,2
2019,Manhattan,7,771,28,76,0,6
2019,Manhattan,8,338,16,45,0,3
2019,Manhattan,9,1114,34,84,4,8
2019,Manhattan,10,2281,72,193,9,15
2019,Manhattan,11,2201,72,210,9,18
2019,Manhattan,12,1214,44,136,6,15
2019,Manhattan,MNJIA,9,1,2,0,0
2019,Manhattan,Unknown,0,0,0,0,0
2019,Manhattan,Total,10327,344,1045,34,92
2019,Queens,1,1159,50,133,1,7
2019,Queens,2,420,17,59,3,6
2019,Queens,3,953,50,138,11,30
2019,Queens,4,705,43,130,5,16
2019,Queens,5,565,27,97,3,12
2019,Queens,6,283,7,23,0,2
2019,Queens,7,788,49,126,3,15
2019,Queens,8,909,29,82,1,11
2019,Queens,9,1017,25,69,3,13
2019,Queens,10,1046,53,154,4,9
2019,Queens,11,298,13,39,0,2
2019,Queens,12,2743,157,378,10,30
2019,Queens,13,1507,69,155,4,13
2019,Queens,14,1506,77,230,3,16
2019,Queens,QNJIA,8,1,3,0,1
2019,Queens,Unknown,2,0,2,0,0
2019,Queens,Total,13909,667,1818,51,183
2019,Staten Island,1,2149,64,159,6,17
2019,Staten Island,2,747,12,38,3,8
2019,Staten Island,3,642,13,38,1,3
2019,Staten Island,SIJIA,3,0,0,0,0
2019,Staten Island,Unknown,0,0,0,0,0
2019,Staten Island,Total,3541,89,235,10,28
2020,Bronx,1,1623,55,227,2,7
2020,Bronx,2,514,27,100,5,12
2020,Bronx,3,1893,56,195,3,9
2020,Bronx,4,1469,85,289,3,14
2020,Bronx,5,1230,54,212,4,9
2020,Bronx,6,1034,38,157,4,9
2020,Bronx,7,1173,59,188,1,7
2020,Bronx,8,438,21,79,1,5
2020,Bronx,9,1874,111,342,9,18
2020,Bronx,10,903,28,97,2,7
2020,Bronx,11,732,32,100,4,7
2020,Bronx,12,1838,88,278,8,27
2020,Bronx,BXJIA,3,0,0,0,0
2020,Bronx,Unknown,4,0,0,0,0
2020,Bronx,Total,14728,654,2264,46,131
2020,Brooklyn,1,789,24,98,1,6
2020,Brooklyn,2,653,34,95,1,5
2020,Brooklyn,3,1959,64,191,3,8
2020,Brooklyn,4,793,35,113,4,11
2020,Brooklyn,5,2243,84,300,5,19
2020,Brooklyn,6,604,11,41,1,2
2020,Brooklyn,7,521,29,80,1,7
2020,Brooklyn,8,1071,32,91,2,6
2020,Brooklyn,9,671,39,102,1,2
2020,Brooklyn,10,333,14,47,1,6
2020,Brooklyn,11,454,21,67,1,4
2020,Brooklyn,12,441,12,44,2,6
2020,Brooklyn,13,998,21,67,5,12
2020,Brooklyn,14,1076,34,102,3,12
2020,Brooklyn,15,629,35,95,3,11
2020,Brooklyn,16,1685,55,177,1,6
2020,Brooklyn,17,1224,72,201,4,16
2020,Brooklyn,18,1721,53,132,4,16
2020,Brooklyn,BKJIA,3,0,0,0,0
2020,Brooklyn,Unknown,0,0,0,0,0
2020,Bronx,Total,17868,669,2043,43,155
2020,Manhattan,1,71,2,17,0,4
2020,Manhattan,2,119,4,15,0,3
2020,Manhattan,3,1231,34,107,1,9
2020,Manhattan,4,397,10,60,1,4
2020,Manhattan,5,131,2,29,0,4
2020,Manhattan,6,227,8,41,1,4
2020,Manhattan,7,637,14,69,0,1
2020,Manhattan,8,335,9,31,1,3
2020,Manhattan,9,1000,28,74,3,4
2020,Manhattan,10,1933,59,193,1,7
2020,Manhattan,11,2153,58,156,3,7
2020,Manhattan,12,1061,31,117,3,8
2020,Manhattan,MNJIA,2,0,2,0,1
2020,Manhattan,Unknown,0,0,0,0,0
2020,Manhattan,Total,9297,259,911,14,59
2020,Queens,1,1168,37,113,2,13
2020,Queens,2,429,17,67,0,5
2020,Queens,3,925,43,151,5,13
2020,Queens,4,692,29,131,6,21
2020,Queens,5,708,47,149,1,6
2020,Queens,6,319,7,20,0,1
2020,Queens,7,804,30,104,1,14
2020,Queens,8,798,21,65,0,5
2020,Queens,9,1022,34,98,3,8
2020,Queens,10,1054,45,134,0,2
2020,Queens,11,311,16,40,0,1
2020,Queens,12,2711,124,372,9,22
2020,Queens,13,1466,58,170,6,14
2020,Queens,14,1441,58,184,3,6
2020,Queens,QNJIA,6,0,0,0,0
2020,Queens,Unknown,3,0,0,0,0
2020,Queens,Total,13857,566,1798,36,131
2020,Staten Island,1,1630,47,144,4,9
2020,Staten Island,2,688,22,62,1,1
2020,Staten Island,3,663,19,44,1,3
2020,Staten Island,SIJIA,1,0,0,0,0
2020,Staten Island,Unknown,0,0,0,0,0
2020,Staten Island,Total,2982,88,250,6,13
